id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote
1,Bitcoin,BTC,bitcoin,12375,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",21000000.0,19923296.0,19923296.0,False,,1,,,,2025-09-20T08:22:00.000Z,"{'USD': {'price': 115896.99477092247, 'volume_24h': 34249932584.74576, 'volume_change_24h': -20.0574, 'percent_change_1h': 0.10512262, 'percent_change_24h': -1.02723494, 'percent_change_7d': 0.02074659, 'percent_change_30d': 1.93063795, 'percent_change_60d': -1.71345779, 'percent_change_90d': 12.9880318, 'market_cap': 2309050132331.5405, 'market_cap_dominance': 57.1593, 'fully_diluted_market_cap': 2433836890189.37, 'tvl': None, 'last_updated': '2025-09-20T08:22:00.000Z'}}"
1027,Ethereum,ETH,ethereum,10783,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'sophon-ecosystem']",,120703883.65595017,120703883.65595017,True,,2,,,,2025-09-20T08:21:00.000Z,"{'USD': {'price': 4479.026920213498, 'volume_24h': 27478063697.868496, 'volume_change_24h': -12.9988, 'percent_change_1h': 0.05562553, 'percent_change_24h': -1.54978042, 'percent_change_7d': -5.11065232, 'percent_change_30d': 4.37900057, 'percent_change_60d': 22.76485528, 'percent_change_90d': 96.80028219, 'market_cap': 540635944269.31885, 'market_cap_dominance': 13.3835, 'fully_diluted_market_cap': 540635944269.32, 'tvl': None, 'last_updated': '2025-09-20T08:21:00.000Z'}}"
52,XRP,XRP,xrp,1708,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",100000000000.0,59777241479.0,99985800180.0,False,,3,,,,2025-09-20T08:22:00.000Z,"{'USD': {'price': 3.005307240412079, 'volume_24h': 4124118987.2649136, 'volume_change_24h': -30.203, 'percent_change_1h': 0.0063782, 'percent_change_24h': -1.37703531, 'percent_change_7d': -3.57479869, 'percent_change_30d': 3.47379974, 'percent_change_60d': -12.81558478, 'percent_change_90d': 45.24717062, 'market_cap': 179648976628.69995, 'market_cap_dominance': 4.4471, 'fully_diluted_market_cap': 300530724041.21, 'tvl': None, 'last_updated': '2025-09-20T08:22:00.000Z'}}"
825,Tether USDt,USDT,tether,148398,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'venom-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'apertum-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem', 'sophon-ecosystem', 'zedxion-smart-chain-ecosystem', 'xlayer-ecosystem']",,171444831025.93777,175071778007.64606,True,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xdac17f958d2ee523a2206206994597c13d831ec7'}",4,,,,2025-09-20T08:21:00.000Z,"{'USD': {'price': 1.0003626987217287, 'volume_24h': 98755955968.6663, 'volume_change_24h': -18.5493, 'percent_change_1h': -0.0162421, 'percent_change_24h': 0.00050367, 'percent_change_7d': -0.00807862, 'percent_change_30d': 0.02755282, 'percent_change_60d': 0.00908754, 'percent_change_90d': -0.00391233, 'market_cap': 171507013846.99786, 'market_cap_dominance': 4.2455, 'fully_diluted_market_cap': 175135276317.74, 'tvl': None, 'last_updated': '2025-09-20T08:21:00.000Z'}}"
1839,BNB,BNB,bnb,2730,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing']",,139186633.37,139186633.37,False,,5,,,,2025-09-20T08:22:00.000Z,"{'USD': {'price': 999.913238440836, 'volume_24h': 3048830912.993375, 'volume_change_24h': -11.7799, 'percent_change_1h': 0.38842635, 'percent_change_24h': 0.00857975, 'percent_change_7d': 7.99295506, 'percent_change_30d': 16.35299009, 'percent_change_60d': 32.54072877, 'percent_change_90d': 58.08613853, 'market_cap': 139174557320.67404, 'market_cap_dominance': 3.4452, 'fully_diluted_market_cap': 139174557320.67, 'tvl': None, 'last_updated': '2025-09-20T08:22:00.000Z'}}"
5426,Solana,SOL,solana,1003,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,543033428.102331,610034517.3202295,True,,6,525236893.3,125713323867.34982,,2025-09-20T08:22:00.000Z,"{'USD': {'price': 239.3459512668811, 'volume_24h': 6246240286.462937, 'volume_change_24h': -28.2051, 'percent_change_1h': -0.0433455, 'percent_change_24h': -2.22979332, 'percent_change_7d': -1.35169482, 'percent_change_30d': 28.52361989, 'percent_change_60d': 21.99800704, 'percent_change_90d': 77.43293311, 'market_cap': 129972852418.8679, 'market_cap_dominance': 3.2174, 'fully_diluted_market_cap': 146009291853.64, 'tvl': None, 'last_updated': '2025-09-20T08:22:00.000Z'}}"
3408,USDC,USDC,usd-coin,31920,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'xdc-ecosystem', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'venom-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'unichain-ecosystem', 'vector-smart-chain-ecosystem', 'sophon-ecosystem', 'xlayer-ecosystem']",,74163508044.29544,74163508044.29544,False,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48'}",7,60901219650.23,60891532009.78903,,2025-09-20T08:21:00.000Z,"{'USD': {'price': 0.9998409286300568, 'volume_24h': 11706089379.643946, 'volume_change_24h': -28.7106, 'percent_change_1h': -0.00761079, 'percent_change_24h': -0.00141546, 'percent_change_7d': 0.0001962, 'percent_change_30d': 0.00844169, 'percent_change_60d': 0.00899309, 'percent_change_90d': -0.01812099, 'market_cap': 74151710753.47104, 'market_cap_dominance': 1.8356, 'fully_diluted_market_cap': 74151710753.47, 'tvl': None, 'last_updated': '2025-09-20T08:21:00.000Z'}}"
74,Dogecoin,DOGE,dogecoin,1308,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america', 'binance-ecosystem', 'binance-listing']",,151016696383.70523,151016696383.70523,True,,8,,,,2025-09-20T08:21:00.000Z,"{'USD': {'price': 0.26616224886892464, 'volume_24h': 2790181872.231356, 'volume_change_24h': -30.1439, 'percent_change_1h': 0.03118325, 'percent_change_24h': -3.79265534, 'percent_change_7d': -6.0815687, 'percent_change_30d': 20.86479284, 'percent_change_60d': 0.08579857, 'percent_change_90d': 70.12175741, 'market_cap': 40194943526.242584, 'market_cap_dominance': 0.995, 'fully_diluted_market_cap': 40194943526.24, 'tvl': None, 'last_updated': '2025-09-20T08:21:00.000Z'}}"
1958,TRON,TRX,tron,1232,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing']",,94664368481.16911,94664366819.6605,True,,9,94667886298.43,32921221791.236515,,2025-09-20T08:22:00.000Z,"{'USD': {'price': 0.3477549048412893, 'volume_24h': 803763939.1830897, 'volume_change_24h': -18.4687, 'percent_change_1h': 0.10907189, 'percent_change_24h': 0.12641843, 'percent_change_7d': -1.54592929, 'percent_change_30d': -1.96201718, 'percent_change_60d': 11.89896209, 'percent_change_90d': 27.41853412, 'market_cap': 32919998453.02971, 'market_cap_dominance': 0.815, 'fully_diluted_market_cap': 32919997875.23, 'tvl': None, 'last_updated': '2025-09-20T08:22:00.000Z'}}"
2010,Cardano,ADA,cardano,1586,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",45000000000.0,35791993628.26157,44994781453.61397,False,,10,37997904336.0,34345256305.32442,,2025-09-20T08:22:00.000Z,"{'USD': {'price': 0.9038723820562129, 'volume_24h': 1223695942.9011755, 'volume_change_24h': -36.3033, 'percent_change_1h': 0.06245068, 'percent_change_24h': -0.77079626, 'percent_change_7d': -2.62005126, 'percent_change_30d': 3.43342331, 'percent_change_60d': 4.87919903, 'percent_change_90d': 64.99256029, 'market_cap': 32351394539.31758, 'market_cap_dominance': 0.8008, 'fully_diluted_market_cap': 40674257192.53, 'tvl': None, 'last_updated': '2025-09-20T08:22:00.000Z'}}"
