id,slug,name,symbol,cmc_rank,type,platform_name,token_address,total_supply,circulating_supply,max_supply,price,market_cap,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,tags,whitepaper_url,date_added,last_updated
1,bitcoin,Bitcoin,BTC,1,coin,,,19922743,19922743,21000000,117817.32232321307,2347244233593.537,59822353181.84891,15.267,0.12062045,1.98830006,3.18276968,mineable;pow;sha-256;store-of-value;state-channel;coinbase-ventures-portfolio;three-arrows-capital-portfolio;polychain-capital-portfolio;binance-labs-portfolio;blockchain-capital-portfolio;boostvc-portfolio;cms-holdings-portfolio;dcg-portfolio;dragonfly-capital-portfolio;electric-capital-portfolio;fabric-ventures-portfolio;framework-ventures-portfolio;galaxy-digital-portfolio;huobi-capital-portfolio;alameda-research-portfolio;a16z-portfolio;1confirmation-portfolio;winklevoss-capital-portfolio;usv-portfolio;placeholder-ventures-portfolio;pantera-capital-portfolio;multicoin-capital-portfolio;paradigm-portfolio;bitcoin-ecosystem;layer-1;ftx-bankruptcy-estate;2017-2018-alt-season;us-strategic-crypto-reserve;binance-ecosystem;binance-listing,https://bitcoin.org/bitcoin.pdf,2010-07-13T00:00:00.000Z,2025-09-18T18:33:00.000Z
1027,ethereum,Ethereum,ETH,2,coin,,,120704240.31020737,120704240.31020737,,4611.967791288576,556684068582.6326,43913323731.13385,21.3972,0.11594582,2.88019643,4.48093314,pos;smart-contracts;ethereum-ecosystem;coinbase-ventures-portfolio;three-arrows-capital-portfolio;polychain-capital-portfolio;binance-labs-portfolio;blockchain-capital-portfolio;boostvc-portfolio;cms-holdings-portfolio;dcg-portfolio;dragonfly-capital-portfolio;electric-capital-portfolio;fabric-ventures-portfolio;framework-ventures-portfolio;hashkey-capital-portfolio;kenetic-capital-portfolio;huobi-capital-portfolio;alameda-research-portfolio;a16z-portfolio;1confirmation-portfolio;winklevoss-capital-portfolio;usv-portfolio;placeholder-ventures-portfolio;pantera-capital-portfolio;multicoin-capital-portfolio;paradigm-portfolio;layer-1;ftx-bankruptcy-estate;sora-ecosystem;rsk-rbtc-ecosystem;world-liberty-financial-portfolio;us-strategic-crypto-reserve;binance-ecosystem;binance-listing;sophon-ecosystem,https://ethereum.org/en/whitepaper/,2015-08-07T00:00:00.000Z,2025-09-18T18:32:00.000Z
52,xrp,XRP,XRP,3,coin,,,99985800180,59777241479,100000000000,3.1174422144847687,186352096052.08453,7451336905.432563,51.4429,0.18223618,2.69429893,3.58348959,medium-of-exchange;enterprise-solutions;xrp-ecosystem;arrington-xrp-capital-portfolio;galaxy-digital-portfolio;a16z-portfolio;pantera-capital-portfolio;ftx-bankruptcy-estate;2017-2018-alt-season;klaytn-ecosystem;made-in-america;us-strategic-crypto-reserve;binance-ecosystem;binance-listing,https://ripple.com/files/ripple_consensus_whitepaper.pdf,2013-08-04T00:00:00.000Z,2025-09-18T18:33:00.000Z
825,tether,Tether USDt,USDT,4,token,Ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,175071778009.35733,171121826173.73566,,1.0003675456869037,171184721262.8809,168369290008.33987,30.6314,-0.00166616,0.00890497,0.02406382,stablecoin;asset-backed-stablecoin;usd-stablecoin;fiat-stablecoin;tron20-ecosystem;rsk-rbtc-ecosystem;venom-ecosystem;world-liberty-financial-portfolio;binance-ecosystem;binance-listing;peaq-ecosystem;apertum-ecosystem;etherlink-ecosystem;duckchain-ecosystem;onus-ecosystem;sophon-ecosystem;zedxion-smart-chain-ecosystem;xlayer-ecosystem,https://tether.to/wp-content/uploads/2016/06/TetherWhitePaper.pdf,2015-02-25T00:00:00.000Z,2025-09-18T18:32:00.000Z
1839,bnb,BNB,BNB,5,coin,,,139186751.31,139186751.31,,989.7183918623621,137755687675.0797,4417810375.744136,45.4831,-0.21857308,3.39811549,10.36232955,marketplace;centralized-exchange;payments;smart-contracts;alameda-research-portfolio;multicoin-capital-portfolio;bnb-chain-ecosystem;layer-1;alleged-sec-securities;celsius-bankruptcy-estate;binance-ecosystem;binance-listing,,2017-07-25T00:00:00.000Z,2025-09-18T18:33:00.000Z
5426,solana,Solana,SOL,6,coin,,,610035697.8475598,543123469.053248,,250.6992570786126,136160650193.60812,11414561268.126625,44.5982,-0.37689114,5.88258962,10.69785421,pos;platform;solana-ecosystem;cms-holdings-portfolio;kenetic-capital-portfolio;alameda-research-portfolio;multicoin-capital-portfolio;okx-ventures-portfolio;layer-1;ftx-bankruptcy-estate;alleged-sec-securities;cmc-crypto-awards-2024;made-in-america;us-strategic-crypto-reserve;binance-ecosystem;binance-listing,https://solana.com/solana-whitepaper.pdf,2020-04-10T00:00:00.000Z,2025-09-18T18:32:00.000Z
3408,usd-coin,USDC,USDC,7,token,Ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,74116799588.1214,74116799588.1214,,0.9997452684623482,74097919701.7965,33320782367.80618,74.5216,0.00110748,0.00753453,0.00167955,medium-of-exchange;stablecoin;asset-backed-stablecoin;coinbase-ventures-portfolio;usd-stablecoin;xdc-ecosystem;fiat-stablecoin;tron20-ecosystem;venom-ecosystem;made-in-america;world-liberty-financial-portfolio;sonic-ecosystem;binance-ecosystem;binance-listing;hyperevm-ecosystem;etherlink-ecosystem;unichain-ecosystem;vector-smart-chain-ecosystem;sophon-ecosystem;xlayer-ecosystem,https://f.hubspotusercontent30.net/hubfs/9304636/PDF/centre-whitepaper.pdf,2018-10-08T00:00:00.000Z,2025-09-18T18:32:00.000Z
74,dogecoin,Dogecoin,DOGE,8,coin,,,150995286383.70523,150995286383.70523,,0.2844488324912621,42950432923.528725,5625532043.961991,54.3288,0.06234801,6.66873253,13.4838813,mineable;pow;scrypt;medium-of-exchange;memes;payments;doggone-doggerel;osmosis-ecosystem;ftx-bankruptcy-estate;animal-memes;made-in-america;binance-ecosystem;binance-listing,https://github.com/dogecoin/dogecoin/blob/master/README.md,2013-12-15T00:00:00.000Z,2025-09-18T18:32:00.000Z
2010,cardano,Cardano,ADA,9,coin,,,44994781453.61397,35791993628.26157,45000000000,0.9333239979846298,33405526588.96949,2288066448.563519,64.0424,0.54569813,6.55476708,6.04378815,dpos;pos;platform;research;smart-contracts;staking;cardano-ecosystem;cardano;layer-1;alleged-sec-securities;2017-2018-alt-season;made-in-america;us-strategic-crypto-reserve;binance-ecosystem;binance-listing,https://developers.cardano.org/,2017-10-01T00:00:00.000Z,2025-09-18T18:33:00.000Z
1958,tron,TRON,TRX,10,coin,,,94663372415.0484,94663372049.82501,,0.3514782222337334,33272113718.72298,1086036418.1746266,35.3058,0.29824051,3.28192931,1.79373173,media;payments;tron-ecosystem;layer-1;dwf-labs-portfolio;alleged-sec-securities;2017-2018-alt-season;tron20-ecosystem;world-liberty-financial-portfolio;binance-ecosystem;binance-listing,https://developers.tron.network/docs,2017-09-13T00:00:00.000Z,2025-09-18T18:33:00.000Z
