id,name,symbol,cmc_rank,price,percent_change_1h,percent_change_24h,market_cap,volume_24h,last_updated
1,Bitcoin,BTC,1,115902.43199033965,0.08478464,-0.99381023,2309158459663.4062,33323983563.48468,2025-09-20T08:35:00.000Z
1027,Ethereum,ETH,2,4479.892759999311,0.16325044,-1.24734319,540740454494.0904,27357276476.202908,2025-09-20T08:34:00.000Z
52,XRP,XRP,3,3.002024332910033,-0.01843233,-1.34986212,179452733474.19693,4113510231.146605,2025-09-20T08:35:00.000Z
825,Tether USDt,USDT,4,1.0005997141877023,0.01659168,0.01262507,171547648923.51227,98648684939.21265,2025-09-20T08:34:00.000Z
1839,BNB,BNB,5,1001.4402892210495,0.55538966,0.10050075,139387102377.757,3047624466.739218,2025-09-20T08:35:00.000Z
5426,Solana,SOL,6,238.91220429971307,-0.12791861,-2.18164161,129737313316.35767,6233128133.304625,2025-09-20T08:35:00.000Z
3408,USDC,USDC,7,1.0000545512868955,0.02117268,0.01074996,74167553759.09995,11696666627.503004,2025-09-20T08:34:00.000Z
74,Dogecoin,DOGE,8,0.26580954589002836,0.06354482,-3.61957616,40141679487.56498,2778521960.9763026,2025-09-20T08:34:00.000Z
1958,TRON,TRX,9,0.34756255786409995,0.0170431,0.13589259,32901790047.90482,809602932.2157035,2025-09-20T08:34:00.000Z
2010,Cardano,ADA,10,0.9020059261111014,0.00520032,-0.82890133,32284590360.02272,1217043789.5350778,2025-09-20T08:35:00.000Z
32196,Hyperliquid,HYPE,11,56.45028236266351,-0.05828327,-0.4825466,18850340049.850327,246441597.68116036,2025-09-20T08:34:00.000Z
1975,Chainlink,LINK,12,23.41850519333996,-0.25362765,-5.32245189,15880087679.652258,793043928.9535925,2025-09-20T08:35:00.000Z
5805,Avalanche,AVAX,13,33.79176859896403,-0.09234858,-1.87782167,14269428732.311197,1046845903.8257749,2025-09-20T08:35:00.000Z
29470,Ethena USDe,USDe,14,1.00112094402908,0.00014802,-0.01361925,14048195758.539629,154370501.21051297,2025-09-20T08:34:00.000Z
20947,Sui,SUI,15,3.666366658536175,-0.16816364,-3.69821554,13084652910.72191,1356388327.951568,2025-09-20T08:35:00.000Z
512,Stellar,XLM,16,0.3921825783997779,0.04160536,-0.2738724,12501945304.871351,186636364.98265466,2025-09-20T08:35:00.000Z
1831,Bitcoin Cash,BCH,17,603.289553560943,-0.3742898,-1.5266758,12022365535.041601,435851266.43653566,2025-09-20T08:34:00.000Z
4642,Hedera,HBAR,18,0.24318243612500537,-0.32613888,-0.93154156,10309215358.46572,218188529.36336598,2025-09-20T08:34:00.000Z
3957,UNUS SED LEO,LEO,19,9.51100571619334,0.0104639,-0.51215332,8775097326.022192,677887.98349453,2025-09-20T08:34:00.000Z
2,Litecoin,LTC,20,114.93712158988089,0.01080978,-2.17041792,8771810264.749554,486523381.1485573,2025-09-20T08:35:00.000Z
3635,Cronos,CRO,21,0.23288497081091153,0.05080133,-0.30787136,8107833577.966501,33501484.99143744,2025-09-20T08:34:00.000Z
11419,Toncoin,TON,22,3.099334899522887,0.01947297,-1.79713041,7886776088.459307,124884208.24239579,2025-09-20T08:35:00.000Z
5994,Shiba Inu,SHIB,23,1.295510087552587e-05,0.10623304,-2.01742071,7633739922.005218,180314777.37425488,2025-09-20T08:35:00.000Z
6636,Polkadot,DOT,24,4.383709722575516,-0.18494666,-5.05520018,7097058359.541565,447588979.98709345,2025-09-20T08:35:00.000Z
7083,Uniswap,UNI,25,9.194436735414763,-0.41805962,-2.08234677,5795534159.430198,237393945.2032911,2025-09-20T08:35:00.000Z
328,Monero,XMR,26,295.73925442992186,-0.81926746,-2.10816796,5455426339.018442,81193445.31445722,2025-09-20T08:35:00.000Z
27075,Mantle,MNT,27,1.6663801087300154,-0.39448498,-4.26626175,5420641269.291414,332989475.42356694,2025-09-20T08:35:00.000Z
33251,World Liberty Financial,WLFI,28,0.2204378935758456,-0.34045285,-0.4267538,5422290139.8429,972743480.6742896,2025-09-20T08:35:00.000Z
4943,Dai,DAI,29,1.0000427483462138,0.01029011,0.02462782,5365612063.902215,99618727.14530195,2025-09-20T08:34:00.000Z
